title,company,scraped_at
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (PhD),TikTok,2025-06-02 12:38:52
"(USA) Senior, Data Scientist",VIZIO,2025-06-02 12:38:54
Clinical Trials - Data Scientist (pharma),Eli Lilly and Company,2025-06-02 12:38:56
"Senior Associate, Data Scientist",Capital One,2025-06-02 12:38:59
Senior AI Data Scientist,Electronic Arts (EA),2025-06-02 12:39:01
Senior Data Scientist,StubHub,2025-06-02 12:39:03
Data Scientist - Platform Automation and Analytics,Charles Schwab,2025-06-02 12:39:06
Responsible Sourcing Data Scientist and Project Manager,Solventum,2025-06-02 12:39:08
"Senior Data Scientist Microbiome - Lexington, MA",dsm-firmenich,2025-06-02 12:39:10
"Sr Data Scientist, Marketing",Tractor Supply Company,2025-06-02 12:39:13
Data Scientist,Serco,2025-06-02 12:39:15
Data Scientist,Visa,2025-06-02 12:40:47
Data Scientist (Remote),The Voleon Group,2025-06-02 12:40:49
Data Scientist,Microsoft,2025-06-02 12:40:52
Data Scientist,Jerry,2025-06-02 12:40:54
Data Scientist,Underdog.io,2025-06-02 12:40:56
Data Scientist (Remote),Progressive Leasing,2025-06-02 12:40:58
Data Scientist,bioMérieux,2025-06-02 12:41:01
"Data Scientist, Operations Research/Customer Support (Inference)",Airbnb,2025-06-02 12:41:03
"Data Scientist, Discovery AI",Tempus AI,2025-06-02 12:41:05
Data Scientist 2,PayPal,2025-06-02 12:41:07
"Data Scientist, Applied AI Solutions",Amazon Web Services (AWS),2025-06-02 12:41:09
Data Scientist (Gen AI),Blue Yonder,2025-06-02 12:41:12
Data Scientist II,Vectra AI,2025-06-02 12:41:14
Senior Data Scientist,Denver Broncos Football Club,2025-06-02 12:41:16
Contract - Data Scientist,L.E.K. Consulting,2025-06-02 12:41:18
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (PhD),TikTok,2025-06-02 12:41:21
Senior Data Scientist,Aurora,2025-06-02 12:41:23
"Data Scientist, Data and Metrics Quality Team",Jacobs,2025-06-02 12:41:25
Data Scientist (Insurance),Nearmap,2025-06-02 12:41:27
"Machine Learning Engineer II, Generative AI",Uber,2025-06-02 12:41:30
Senior AI Data Scientist,Electronic Arts (EA),2025-06-02 12:41:32
Senior Data Scientist,StubHub,2025-06-02 12:41:34
Data Scientist - Platform Automation and Analytics,Charles Schwab,2025-06-02 12:41:36
"Manager, Data Scientist - US Card (Marketing Intelligence)",Capital One,2025-06-02 12:41:39
Lead Data Scientist,Philo,2025-06-02 12:41:41
Data Scientist,Lensa,2025-06-02 12:43:16
Data Scientist,Petco,2025-06-02 12:43:19
Data Scientist,Petco,2025-06-02 12:43:21
Data Scientist,Microsoft,2025-06-02 12:43:23
Data Scientist (Technical Leadership),Meta,2025-06-02 12:43:25
Data Scientist,Jerry,2025-06-02 12:43:27
Data Scientist - Last Mile,Veho,2025-06-02 12:43:30
Data Scientist – NLP & Real World Evidence (RWE) - Remote,Veradigm®,2025-06-02 12:43:32
Senior Data Scientist,ŌURA,2025-06-02 12:43:34
Data Scientist 2,PayPal,2025-06-02 12:43:36
Sr Data Scientist,The Hershey Company,2025-06-02 12:43:39
Sr Data Scientist,Health Care Service Corporation,2025-06-02 12:43:41
Senior Data Scientist,LogicMatrix,2025-06-02 12:43:43
Data Scientist,ScrollTab,2025-06-02 12:43:45
"Data Scientist - Data and Machine Learning, WWPS ProServe",Amazon Web Services (AWS),2025-06-02 12:43:48
"Data Scientist, Data and Metrics Quality Team",Jacobs,2025-06-02 12:43:50
Senior Data Scientist,Verizon,2025-06-02 12:43:52
