title,company,location,url,scraped_at
"AI Tutor, Statistics Specialist (contract), Handshake AI",Handshake,United States,https://www.linkedin.com/jobs/view/4243672502/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=BNITY0cP%2FJJZ6eczrULBLg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Editorial Prompt Engineer,LinkedIn,"New York, NY",https://www.linkedin.com/jobs/view/4249275688/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=CLyQY7l0CVsHt%2FmBAcsftQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Applied Legal Researcher,EvenUp,"San Antonio, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/4244789800/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=MlIgLW8hQhbpgEne1hDd0Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Senior / Staff Systems Engineer - Safety Methodologies,Waabi,"California, United States",https://www.linkedin.com/jobs/view/4248387968/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=zE3pefjun3WHcX1ouVbOAg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Applied Scientist - Catalog GenAI, Amazon",Amazon,"Seattle, WA",https://www.linkedin.com/jobs/view/4249010991/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=B58IjSQdtik0f0wlWdcTKA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Applied Scientist - Catalog GenAI, Amazon",Amazon,"Seattle, WA",URL not found,2025-06-12
"Product Growth Strategist, AI Defense",Cisco,"San Jose, CA",https://www.linkedin.com/jobs/view/4249423016/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=XH7IFeMvHitvecbj3pFmJw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Product Growth Strategist, AI Defense",Cisco,"San Jose, CA",URL not found,2025-06-12
"Senior AI Engineer, Agentic Orchestration",HP,"Spring, TX",https://www.linkedin.com/jobs/view/4247584787/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=yrpvS87phrOOWiCdpiFF4w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Senior AI Engineer, Agentic Orchestration",HP,"Spring, TX",URL not found,2025-06-12
AI Observability Consultant,Ember Group Consulting,"Charlotte, NC",https://www.linkedin.com/jobs/view/4247336535/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=Pl8mXilYCEcAh0AsiYcYzw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Senior Deep Learning Engineer,NVIDIA,"Santa Clara, CA",https://www.linkedin.com/jobs/view/4245833868/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=Oz%2F%2FGWohskTS3dVUyv4RBQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Senior Deep Learning Engineer,NVIDIA,"Santa Clara, CA",URL not found,2025-06-12
"Research Engineer, Language - Generative AI",Lensa,"New York, NY",https://www.linkedin.com/jobs/view/4249419374/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=9jDQYY9EjqccqhA7DIb1Ag%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Writing Experts for AI Training - US English,"e2f, inc.",United States,https://www.linkedin.com/jobs/view/4243340711/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=HBeDQRoS9Pocp%2BO1yGoyPA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Outcomes Manager,Glean,"Palo Alto, CA",https://www.linkedin.com/jobs/view/4195618475/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=UmyWlFKjk56MgyTZ3rZAaA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"AI/ML Content Evaluator, Artificial General Intelligence",Amazon,"Boston, MA",https://www.linkedin.com/jobs/view/4187613466/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=mHErt6uSkIUzR23bp8232A%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"AI/ML Content Evaluator, Artificial General Intelligence",Amazon,"Boston, MA",URL not found,2025-06-12
"Group Product Manager, AI Personalization",Google,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/4242691653/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=CotLiCPFDkzIes3VOY7Rtg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Group Product Manager, AI Personalization",Google,"Sunnyvale, CA",URL not found,2025-06-12
Artificial Intelligence Consultant,"QUICK USA, Inc.","Manhattan, NY",https://www.linkedin.com/jobs/view/4249268186/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=MAWQLdqPBzbKOhUoCRRceg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Artificial Intelligence Consultant,"QUICK USA, Inc.","Manhattan, NY",URL not found,2025-06-12
AI Research Scientist II (Intern) United States,Cisco,"San Jose, CA",https://www.linkedin.com/jobs/view/4243670409/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=lzwr4RfG%2BO96pKH%2BANZoSg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Research Scientist II (Intern) United States,Cisco,"San Jose, CA",URL not found,2025-06-12
Freelance Linguistics Consultant - AI Trainer,Mindrift,"North Carolina, United States",https://www.linkedin.com/jobs/view/4248698358/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=TWsBEXDRRnPhyIbJUTTkyg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI/ML Architect,Talent Groups,United States,https://www.linkedin.com/jobs/view/4245970758/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=qHjI2sppjbwp%2BsdFfIYF2Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI/ML Architect,Talent Groups,United States,URL not found,2025-06-12
Program Manager – Material Flow & Logistics,Capgemini Engineering,"Indiana, United States",https://www.linkedin.com/jobs/view/4242923310/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=RvyLffjdTWUuqtsADAKNGg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Solutions Storytelling Designer,Concentrix,United States,https://www.linkedin.com/jobs/view/4243746816/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=iKX6kpX4Zxndf1FUuNGtEw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
GEN AI Architect,Kodeva LLC,"Plano, TX",https://www.linkedin.com/jobs/view/4245962987/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=azxwF1uLyYwfOfZtK9BFEQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
GEN AI Architect,Kodeva LLC,"Plano, TX",URL not found,2025-06-12
